Epoch,Train,Valid
0.0,0.9533464832739397,1.0652375404651349
1.0,0.8016301122578707,1.0100549505307124
2.0,0.7458386171947826,0.8089223045569199
3.0,0.7002733328125693,1.107310455579024
4.0,0.6741573669693687,0.749442288508782
5.0,0.613843746618791,0.7246952790480393
6.0,0.6137767802585256,0.7133283752661485
7.0,0.5757895924828269,0.7879488147222079
8.0,0.5698707212101329,0.7356155652266282
9.0,0.5392564860257235,0.6079027836139386
10.0,0.5196614184162833,0.6393471772854145
11.0,0.5065097456628626,0.5423587216780736
12.0,0.4914744583043185,0.5672936164415799
13.0,0.4773412688211961,0.585949705197261
14.0,0.4729358673095703,0.591717236317121
15.0,0.4558364813978022,0.5343413330041445
16.0,0.4402717557820407,0.5081948179465073
17.0,0.4326129111376676,0.4448974040838388
18.0,0.4329952987757596,0.48755374550819397
19.0,0.4158088050105355,0.4522370971166171
