Epoch,Train,Valid
0.0,1.1009632283991033,0.9959001632837149
1.0,0.8118824048475786,0.7754168189488925
2.0,0.6894808454947038,0.7334904303917518
3.0,0.6056296489455483,0.6027768323054681
4.0,0.5648251224647869,0.6214945706037375
5.0,0.5227128733288158,0.5067925040538495
6.0,0.49206565564328975,0.5131381497933314
7.0,0.4634417512200095,0.4642742413740892
8.0,0.43042679483240304,0.45313556836201596
9.0,0.4613156676292419,0.46331761892025286
10.0,0.41215155991640956,0.43169344847018903
11.0,0.40613040815700185,0.45971342004262483
12.0,0.3803324740041386,0.4548217998101161
13.0,0.38914599797942423,2.7026715003527126
14.0,0.3746024359356273,0.4446193484159616
15.0,0.34902291731400925,0.4734637485100673
16.0,0.3354716097766703,0.44118078167621905
17.0,0.3162695705890656,0.4360907811384935
18.0,0.30894157480109824,0.4583367086373843
19.0,0.2990591455589641,0.434311195061757
