Epoch,Train,Valid
0.0,1.1533694018017162,1.2008164479182317
1.0,0.8957440798932855,0.9723242475436285
2.0,0.7832148161801424,0.8621083681400006
3.0,0.7020119190216064,0.8181606531143188
4.0,0.6586798396977511,0.8086142906775842
5.0,0.6112602331421592,0.8094155880121084
6.0,0.5985568881034851,0.739981050674732
7.0,0.5685149897228587,0.6974501013755798
8.0,0.5424216470935128,0.667050125507208
9.0,0.5600528180599212,0.724329792536222
10.0,0.531402835520831,0.6464623396213238
11.0,0.5153843381188132,0.6400941908359528
12.0,0.5055116219954057,0.6443468584464147
13.0,0.5121404398571361,0.6961753849799817
14.0,0.4934750177643516,0.5714502907716311
15.0,0.4687890800562772,0.607714423766503
16.0,0.4667327962138436,0.6106784274944892
17.0,0.4583649662407962,0.6124133742772616
18.0,0.4556438847021623,0.6098258907978351
19.0,0.4706346858631481,0.513787024296247
