Epoch,Train,Valid
0.0,1.056018381769007,0.9973231049684378
1.0,0.8653067415410822,0.9453411790040823
2.0,0.7629652749408375,0.7634274271818308
3.0,0.6961051084778526,0.8921104256923382
4.0,0.657066332210194,0.7937558339192317
5.0,0.6227741317315535,0.7653877230790945
6.0,0.6009737079793757,0.6906220591985263
7.0,0.5780460260131143,0.6473349562058082
8.0,0.5521362662315369,0.6742518842220306
9.0,0.5628708200021224,0.6605249918424166
10.0,0.525866383855993,0.5851135941652151
11.0,0.5259984092278914,0.676573436993819
12.0,0.507661264592951,0.5958430446111239
13.0,0.4900603408163244,0.5920268686918112
14.0,0.4771715321324088,0.5582108887342306
15.0,0.4637407140298323,0.6305590340724359
16.0,0.48389873775568876,0.5578632308886602
17.0,0.4865018915046345,0.5640243704502399
18.0,0.4551291790875522,0.5163894639565394
19.0,0.43803359378467904,0.543237002996298
