Epoch,Train,Valid
0.0,1.061658746545965,1.0035140468524053
1.0,0.8695356173948808,0.925293349302732
2.0,0.7674398216334256,0.824640113573808
3.0,0.7259902282194658,0.8322524978564336
4.0,0.6745229059999639,0.7913852609120883
5.0,0.6389427856965498,0.8223856183198782
6.0,0.6137371128255671,0.8252155459844149
7.0,0.6042117357254029,0.692407108270205
8.0,0.5636308930136941,0.7764830772693341
9.0,0.5624900395219976,0.6798037336422846
10.0,0.5473688607866114,0.6289546673114483
11.0,0.5493799215013331,0.7218544276861044
12.0,0.5288737470453436,0.6651446704681103
13.0,0.5324754151430997,0.6829440203996805
14.0,0.5045741075819189,0.7951773840647477
15.0,0.5144422395662828,0.6038652704312251
16.0,0.49284241795539857,0.7231087638781621
17.0,0.4888087305155667,0.5834132639261392
18.0,0.4925359444184737,0.5389028145716741
19.0,0.49932561896064065,0.6138173708548913
