Epoch,Train,Valid
0.0,1.0891521616415545,0.9002673350847684
1.0,0.7850577386942776,0.7602079373139602
2.0,0.6801320650360801,0.6729062245442317
3.0,0.6189324476502158,0.6205187577467698
4.0,0.5794043849815022,0.5955887413941897
5.0,0.5357107525522059,0.5112643906703362
6.0,0.5031651995398781,0.605670268719013
7.0,0.48126832138408315,0.5003711329056666
8.0,0.4729675666852431,0.48920727234620315
9.0,0.4473293987187472,0.44877045429669893
10.0,0.436213510686701,0.4479727607506972
11.0,0.41439608281308954,0.4355427347696744
12.0,0.40862381837584755,0.45957600153409517
13.0,0.3992942273616791,0.43856305342454177
14.0,0.39293895905668086,0.4343790136850797
15.0,0.36695675253868104,0.440119947378452
16.0,0.3664618123661388,0.41844565822527957
17.0,0.3596170406449925,0.40867973405581254
18.0,0.34652172462506725,0.42155463191179127
19.0,0.3364038505337455,0.43737876644501317
