Epoch,Train,Valid
0.0,1.0351433678106827,0.93889902646725
1.0,0.7943207654086026,0.7832480485622699
2.0,0.6805400208993392,0.7091525426277747
3.0,0.6354884944178841,0.6422648980067327
4.0,0.5808979419144717,0.6056125439130343
5.0,0.5352225758812644,0.5566156116815714
6.0,0.5057058524001729,0.5828026624826285
7.0,0.48530411395159634,0.4859454402556786
8.0,0.4441102829846469,0.4901301608635829
9.0,0.4371655209497972,0.47604093643335194
10.0,0.4225074047392065,0.46577398364360517
11.0,0.4168749289079146,0.5289648771286011
12.0,0.41021002422679553,0.47123368428303647
13.0,0.39870215546001087,0.4689703698341663
14.0,0.36904543313113125,0.4658891191849342
15.0,0.36939836659214714,0.4551167121300331
16.0,0.3509026668288491,0.4733618704172281
17.0,0.3348055227236314,0.4558847454878
18.0,0.3286815730008212,0.4985967782827524
19.0,0.3398947214538401,0.46519375764406645
